task_id,task_name,required_skills,estimated_hours,priority,deadline,task_type
TASK001,文書作成,"[""SKILL001""]",8,high,2026-01-15,documentation
TASK002,データ入力,"[""SKILL002""]",1,medium,2026-01-16,data_entry
TASK003,受付対応,"[""SKILL003""]",6,high,2026-01-17,reception
TASK004,会計処理,"[""SKILL004""]",1,medium,2026-01-18,accounting
TASK005,資料整理,"[""SKILL005""]",3,low,2026-01-19,filing
TASK006,会議準備,"[""SKILL006""]",1,medium,2026-01-20,meeting_prep
TASK007,メール対応,"[""SKILL007""]",2,low,2026-01-21,communication
TASK008,請求処理,"[""SKILL008""]",1,high,2026-01-22,accounting
TASK009,在庫管理,"[""SKILL009""]",3,medium,2026-01-23,inventory
TASK010,スケジュール調整,"[""SKILL010""]",1,low,2026-01-24,scheduling
TASK011,文書作成,"[""SKILL001""]",8,high,2026-01-25,documentation
TASK012,データ入力,"[""SKILL002""]",1,medium,2026-01-26,data_entry
TASK013,受付対応,"[""SKILL003""]",5,high,2026-01-27,reception
TASK014,会計処理,"[""SKILL004""]",1,medium,2026-01-28,accounting
TASK015,資料整理,"[""SKILL005""]",4,medium,2026-01-29,filing
TASK016,会議準備,"[""SKILL006""]",1,low,2026-01-30,meeting_prep
TASK017,メール対応,"[""SKILL007""]",1,low,2026-01-31,communication
TASK018,請求処理,"[""SKILL008""]",3,medium,2026-02-01,accounting
TASK019,在庫管理,"[""SKILL009""]",1,medium,2026-02-02,inventory
TASK020,スケジュール調整,"[""SKILL010""]",6,high,2026-02-03,scheduling
TASK021,文書作成,"[""SKILL001""]",1,low,2026-02-04,documentation
TASK022,データ入力,"[""SKILL002""]",1,high,2026-02-05,data_entry
TASK023,受付対応,"[""SKILL003""]",2,medium,2026-02-06,reception
TASK024,会計処理,"[""SKILL004""]",1,low,2026-02-07,accounting
TASK025,資料整理,"[""SKILL005""]",5,medium,2026-02-08,filing
TASK026,会議準備,"[""SKILL006""]",1,medium,2026-02-09,meeting_prep
TASK027,メール対応,"[""SKILL007""]",6,high,2026-02-10,communication
TASK028,請求処理,"[""SKILL008""]",1,medium,2026-02-11,accounting
TASK029,在庫管理,"[""SKILL009""]",2,low,2026-02-12,inventory
TASK030,スケジュール調整,"[""SKILL010""]",8,high,2026-02-13,scheduling